date_2,gid,team_slug_1,fg_1,fga_1,fg%_1,3p_1,3pa_1,3p%_1,ft_1,fta_1,ft%_1,orb_1,drb_1,trb_1,ast_1,stl_1,blk_1,tov_1,pf_1,pts_1,home_1,betting_line_1,team_slug_2,fg_2,fga_2,fg%_2,3p_2,3pa_2,3p%_2,ft_2,fta_2,ft%_2,orb_2,drb_2,trb_2,ast_2,stl_2,blk_2,tov_2,pf_2,pts_2,home_2,betting_line_2,off_rating_1,off_rating_2,over_under
2015-01-07,201501070ATL,ATL,32,72,0.444,13,25,0.52,19,23,0.826,8,29,37,21,17,4,17,15,96,1,-4.0,MEM,35,79,0.443,5,17,0.294,11,11,1.0,8,31,39,20,10,4,21,21,86,0,4.0,104.55,93.66,197.0
2015-01-07,201501070ATL,MEM,35,79,0.443,5,17,0.294,11,11,1.0,8,31,39,20,10,4,21,21,86,0,4.0,ATL,32,72,0.444,13,25,0.52,19,23,0.826,8,29,37,21,17,4,17,15,96,1,-4.0,93.66,104.55,197.0
2015-01-09,201501090DET,ATL,40,82,0.488,10,23,0.435,16,24,0.667,6,43,49,27,3,3,14,13,106,0,-2.5,DET,38,96,0.396,13,43,0.302,14,18,0.778,11,35,46,24,9,3,7,19,103,1,2.5,107.84,104.79,206.5
2015-01-09,201501090DET,DET,38,96,0.396,13,43,0.302,14,18,0.778,11,35,46,24,9,3,7,19,103,1,2.5,ATL,40,82,0.488,10,23,0.435,16,24,0.667,6,43,49,27,3,3,14,13,106,0,-2.5,104.79,107.84,206.5
2015-01-11,201501110ATL,ATL,42,89,0.472,16,31,0.516,20,24,0.833,13,29,42,34,14,3,8,15,120,1,-4.0,WAS,36,76,0.474,5,20,0.25,12,15,0.8,8,31,39,25,5,7,19,16,89,0,4.0,130.8,97.01,194.0
2015-01-11,201501110ATL,WAS,36,76,0.474,5,20,0.25,12,15,0.8,8,31,39,25,5,7,19,16,89,0,4.0,ATL,42,89,0.472,16,31,0.516,20,24,0.833,13,29,42,34,14,3,8,15,120,1,-4.0,97.01,130.8,194.0
2015-01-13,201501130PHI,ATL,42,87,0.483,12,23,0.522,9,16,0.563,15,32,47,34,6,3,16,17,105,0,-10.0,PHI,31,76,0.408,9,25,0.36,16,25,0.64,12,23,35,20,8,6,18,22,87,1,10.0,115.85,95.99,195.5
2015-01-13,201501130PHI,PHI,31,76,0.408,9,25,0.36,16,25,0.64,12,23,35,20,8,6,18,22,87,1,10.0,ATL,42,87,0.483,12,23,0.522,9,16,0.563,15,32,47,34,6,3,16,17,105,0,-10.0,95.99,115.85,195.5
2015-01-14,201501140BOS,ATL,36,73,0.493,10,29,0.345,23,27,0.852,6,29,35,23,13,7,12,12,105,0,-5.0,BOS,34,83,0.41,11,33,0.333,12,14,0.857,13,27,40,22,5,2,16,23,91,1,5.0,118.66,102.84,202.0
2015-01-14,201501140BOS,BOS,34,83,0.41,11,33,0.333,12,14,0.857,13,27,40,22,5,2,16,23,91,1,5.0,ATL,36,73,0.493,10,29,0.345,23,27,0.852,6,29,35,23,13,7,12,12,105,0,-5.0,102.84,118.66,202.0
2015-01-16,201501160TOR,ATL,42,69,0.609,12,23,0.522,14,16,0.875,4,28,32,30,7,6,17,17,110,0,-2.0,TOR,35,82,0.427,6,25,0.24,13,17,0.765,12,23,35,20,7,3,17,16,89,1,2.0,123.02,99.53,206.0
