new_index,gid,team_slug_home,away_home_home,fg_home,fga_home,fg%_home,3p_home,3pa_home,3p%_home,ft_home,fta_home,ft%_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,betting_line_home,betting_line_terms,team_slug_away,away_home_away,fg_away,fga_away,fg%_away,3p_away,3pa_away,3p%_away,ft_away,fta_away,ft%_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,date,betting_line_away,over_under_terms,over_under
207,201311090CLE,CLE,home,46,102,0.451,13,31,0.419,22,29,0.759,14,36,50,28,10,10,18,21,127,-8.0,-107.0,PHI,away,47,99,0.475,11,27,0.407,20,23,0.87,9,35,44,24,10,3,19,22,125,2013-11-09,8.0,-110.0,200.0
208,201311150CLE,CLE,home,32,79,0.405,4,15,0.267,12,17,0.706,10,33,43,19,10,6,15,17,80,-6.0,-103.0,CHA,away,32,80,0.4,8,20,0.4,14,20,0.7,12,35,47,23,8,8,16,13,86,2013-11-15,6.0,-108.0,187.0
209,201311200CLE,CLE,home,32,77,0.416,9,23,0.391,18,21,0.857,13,25,38,19,5,0,15,20,91,-3.0,-105.0,WAS,away,38,84,0.452,8,19,0.421,14,14,1.0,15,29,44,31,6,5,14,17,98,2013-11-20,3.0,-105.0,191.0
210,201311270CLE,CLE,home,29,83,0.349,10,28,0.357,16,24,0.667,12,35,47,19,7,2,18,18,84,8.5,-113.0,MIA,away,35,72,0.486,4,19,0.211,21,25,0.84,2,39,41,23,11,7,14,19,95,2013-11-27,-8.5,-113.0,197.5
211,201311300CLE,CLE,home,37,78,0.474,7,15,0.467,16,19,0.842,10,31,41,20,5,7,10,18,97,5.0,-102.0,CHI,away,39,82,0.476,6,15,0.4,9,15,0.6,9,27,36,31,5,4,9,22,93,2013-11-30,-5.0,-102.0,182.5
212,201312040CLE,CLE,home,37,91,0.407,5,14,0.357,19,24,0.792,20,38,58,20,6,13,12,10,98,3.5,-110.0,DEN,away,36,92,0.391,6,23,0.261,10,13,0.769,15,28,43,27,6,8,11,22,88,2013-12-04,-3.5,-110.0,200.5
213,201312070CLE,CLE,home,31,83,0.373,4,14,0.286,22,30,0.733,16,44,60,18,5,3,15,21,88,6.0,-104.0,LAC,away,28,87,0.322,7,35,0.2,19,26,0.731,10,35,45,24,9,7,13,21,82,2013-12-07,-6.0,-104.0,198.5
214,201312100CLE,CLE,home,42,74,0.568,9,19,0.474,16,22,0.727,9,29,38,25,6,1,12,13,109,-2.5,-108.0,NYK,away,40,87,0.46,10,31,0.323,4,5,0.8,9,22,31,27,4,5,13,19,94,2013-12-10,2.5,-113.0,190.0
215,201312170CLE,CLE,home,48,102,0.471,9,17,0.529,11,16,0.688,13,31,44,26,6,1,6,17,116,4.5,-106.0,POR,away,41,92,0.446,15,33,0.455,22,25,0.88,18,38,56,26,2,5,14,16,119,2013-12-17,-4.5,-106.0,205.0
216,201312200CLE,CLE,home,39,100,0.39,11,28,0.393,25,27,0.926,18,38,56,18,5,12,12,22,114,-8.0,-103.0,MIL,away,40,100,0.4,10,29,0.345,21,25,0.84,14,38,52,22,7,7,11,23,111,2013-12-20,8.0,-113.0,191.0
217,201312230CLE,CLE,home,34,88,0.386,8,28,0.286,16,24,0.667,13,26,39,20,5,4,19,16,92,-1.0,-106.0,DET,away,46,96,0.479,10,24,0.417,13,18,0.722,18,32,50,27,11,5,14,20,115,2013-12-23,1.0,-108.0,203.5
218,201312260CLE,CLE,home,49,94,0.521,8,21,0.381,19,26,0.731,11,34,45,22,9,8,22,19,125,3.0,-104.0,ATL,away,51,103,0.495,11,34,0.324,14,19,0.737,10,32,42,33,13,5,21,24,127,2013-12-26,-3.0,-104.0,205.0
219,201312290CLE,CLE,home,38,92,0.413,10,16,0.625,18,21,0.857,7,37,44,21,8,7,15,18,104,7.0,100.0,GSW,away,42,95,0.442,10,33,0.303,14,19,0.737,12,40,52,30,8,10,17,28,108,2013-12-29,-7.0,100.0,206.5
220,201401020CLE,CLE,home,33,96,0.344,4,19,0.211,17,24,0.708,17,42,59,22,6,5,12,21,87,-2.0,-106.0,ORL,away,32,84,0.381,7,25,0.28,10,18,0.556,8,41,49,21,5,12,14,20,81,2014-01-02,2.0,-107.0,193.5
221,201401050CLE,CLE,home,27,79,0.342,6,20,0.3,18,20,0.9,16,33,49,14,7,2,18,25,78,10.0,-105.0,IND,away,28,77,0.364,8,24,0.333,18,22,0.818,10,32,42,17,8,4,13,19,82,2014-01-05,-10.0,-105.0,181.5
222,201401070CLE,CLE,home,44,89,0.494,13,28,0.464,10,18,0.556,14,44,58,29,5,9,18,27,111,-5.5,-110.0,PHI,away,34,86,0.395,4,19,0.211,21,27,0.778,8,30,38,21,9,6,10,18,93,2014-01-07,5.5,-105.0,207.5
223,201401200CLE,CLE,home,33,81,0.407,5,23,0.217,26,33,0.788,14,32,46,21,5,1,13,24,97,1.0,-102.0,DAL,away,38,83,0.458,4,20,0.2,22,28,0.786,8,31,39,22,7,3,8,25,102,2014-01-20,-1.0,-102.0,205.5
224,201401220CLE,CLE,home,33,88,0.375,8,19,0.421,13,18,0.722,19,22,41,23,7,2,9,18,87,-4.5,-107.0,CHI,away,37,70,0.529,10,21,0.476,14,18,0.778,7,36,43,24,5,8,10,19,98,2014-01-22,4.5,-105.0,186.0
225,201401240CLE,CLE,home,37,88,0.42,4,14,0.286,15,23,0.652,21,31,52,28,9,5,12,18,93,-8.0,-107.0,MIL,away,30,74,0.405,7,24,0.292,11,14,0.786,8,26,34,20,6,9,15,20,78,2014-01-24,8.0,-105.0,194.5
226,201401260CLE,CLE,home,34,86,0.395,5,16,0.313,17,24,0.708,14,29,43,23,6,3,14,23,90,-2.0,-106.0,PHO,away,34,82,0.415,9,27,0.333,22,28,0.786,14,36,50,23,6,2,12,24,99,2014-01-26,2.0,-105.0,204.0
227,201401280CLE,CLE,home,33,80,0.413,6,15,0.4,17,27,0.63,10,25,35,22,10,2,11,16,89,-2.5,-105.0,NOP,away,39,74,0.527,4,13,0.308,18,23,0.783,6,35,41,27,7,10,13,23,100,2014-01-28,2.5,-110.0,194.0
228,201402050CLE,CLE,home,38,101,0.376,5,33,0.152,27,37,0.73,27,30,57,24,10,1,11,22,108,-7.0,-106.0,LAL,away,42,79,0.532,18,37,0.486,17,22,0.773,6,34,40,35,7,3,13,25,119,2014-02-05,7.0,-108.0,207.0
229,201402090CLE,CLE,home,35,88,0.398,10,20,0.5,11,18,0.611,10,38,48,24,6,5,13,20,91,3.0,-102.0,MEM,away,33,86,0.384,3,14,0.214,14,16,0.875,9,37,46,22,8,6,14,21,83,2014-02-09,-3.0,-102.0,183.5
230,201402110CLE,CLE,home,41,86,0.477,12,21,0.571,15,23,0.652,15,30,45,30,8,1,12,27,109,1.5,-110.0,SAC,away,34,74,0.459,8,26,0.308,23,33,0.697,9,27,36,18,4,6,14,18,99,2014-02-11,-1.5,-110.0,205.5
