new_index,gid,team_slug_home,away_home_home,fg_home,fga_home,fg%_home,3p_home,3pa_home,3p%_home,ft_home,fta_home,ft%_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,betting_line_home,betting_line_terms,team_slug_away,away_home_away,fg_away,fga_away,fg%_away,3p_away,3pa_away,3p%_away,ft_away,fta_away,ft%_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,date,betting_line_away,over_under_terms,over_under
447,201404040HOU,HOU,home,33,78,0.423,13,31,0.419,32,37,0.865,9,36,45,21,8,2,11,21,111,-3.0,-110.0,OKC,away,38,85,0.447,13,31,0.419,18,20,0.9,10,35,45,24,5,8,14,24,107,2014-04-04,3.0,-105.0,213.5
448,201404060HOU,HOU,home,45,98,0.459,13,36,0.361,27,40,0.675,15,35,50,24,15,10,15,19,130,-10.5,-110.0,DEN,away,51,107,0.477,14,31,0.452,9,13,0.692,15,39,54,28,8,8,21,24,125,2014-04-06,10.5,-113.0,222.0
449,201404120HOU,HOU,home,35,74,0.473,10,27,0.37,31,39,0.795,6,30,36,23,10,8,13,19,111,-15.0,-107.0,NOP,away,39,88,0.443,9,22,0.409,17,21,0.81,8,31,39,20,7,8,10,26,104,2014-04-12,15.0,-109.0,212.0
450,201404140HOU,HOU,home,38,85,0.447,4,22,0.182,24,29,0.828,11,39,50,18,4,2,6,16,104,-5.5,-103.0,SAS,away,39,89,0.438,4,17,0.235,16,18,0.889,8,35,43,24,3,2,6,23,98,2014-04-14,5.5,-113.0,211.5
451,201310290IND,IND,home,34,71,0.479,7,17,0.412,22,32,0.688,10,34,44,17,4,18,20,13,97,-12.0,-105.0,ORL,away,36,93,0.387,9,19,0.474,6,10,0.6,13,26,39,17,10,6,17,26,87,2013-10-29,12.0,-108.0,188.5
452,201311020IND,IND,home,32,77,0.416,10,28,0.357,15,20,0.75,10,41,51,24,6,6,20,16,89,-8.0,-104.0,CLE,away,29,83,0.349,3,15,0.2,13,15,0.867,6,31,37,11,15,1,16,25,74,2013-11-02,8.0,-105.0,188.0
453,201311060IND,IND,home,36,86,0.419,7,18,0.389,18,21,0.857,17,35,52,21,9,7,14,24,97,-2.0,-108.0,CHI,away,26,73,0.356,5,15,0.333,23,27,0.852,11,29,40,15,4,5,17,20,80,2013-11-06,2.0,-105.0,182.5
454,201311080IND,IND,home,36,78,0.462,6,21,0.286,13,16,0.813,9,29,38,20,5,6,15,19,91,-8.5,-105.0,TOR,away,32,81,0.395,6,18,0.333,14,16,0.875,15,27,42,16,7,6,15,22,84,2013-11-08,8.5,-105.0,187.5
455,201311110IND,IND,home,37,76,0.487,6,19,0.316,15,18,0.833,9,36,45,25,5,9,13,22,95,-6.5,-102.0,MEM,away,31,75,0.413,4,8,0.5,13,19,0.684,7,25,32,19,6,4,10,20,79,2013-11-11,6.5,-105.0,182.0
456,201311150IND,IND,home,40,79,0.506,5,16,0.313,19,21,0.905,9,35,44,14,5,11,13,20,104,-14.0,-103.0,MIL,away,30,88,0.341,8,16,0.5,9,11,0.818,17,23,40,14,3,10,15,24,77,2013-11-15,14.0,-107.0,183.5
457,201311230IND,IND,home,35,76,0.461,5,18,0.278,31,38,0.816,8,42,50,20,5,11,19,21,106,-15.5,-106.0,PHI,away,35,102,0.343,4,25,0.16,24,32,0.75,23,31,54,11,15,6,14,27,98,2013-11-23,15.5,-108.0,194.5
458,201311250IND,IND,home,40,80,0.5,8,15,0.533,10,17,0.588,7,38,45,19,13,5,20,24,98,-6.5,-108.0,MIN,away,29,88,0.33,3,19,0.158,23,28,0.821,14,32,46,15,9,1,19,18,84,2013-11-25,6.5,-108.0,196.5
459,201311290IND,IND,home,38,85,0.447,9,22,0.409,8,10,0.8,14,35,49,27,12,1,16,15,93,-10.5,-107.0,WAS,away,29,73,0.397,6,18,0.333,9,13,0.692,6,31,37,16,5,10,17,12,73,2013-11-29,10.5,-106.0,186.0
460,201312100IND,IND,home,34,67,0.507,5,15,0.333,17,25,0.68,9,34,43,22,7,2,21,21,90,-3.5,-105.0,MIA,away,33,77,0.429,4,21,0.19,14,20,0.7,6,27,33,20,13,6,12,21,84,2013-12-10,3.5,-107.0,191.5
461,201312130IND,IND,home,36,76,0.474,8,21,0.381,19,25,0.76,6,38,44,19,6,10,12,21,99,-12.0,-108.0,CHA,away,39,83,0.47,4,12,0.333,12,17,0.706,8,30,38,19,5,4,11,19,94,2013-12-13,12.0,-106.0,183.5
462,201312160IND,IND,home,35,81,0.432,6,17,0.353,20,27,0.741,9,31,40,18,5,4,7,20,96,-11.0,-103.0,DET,away,38,88,0.432,7,20,0.35,18,28,0.643,20,35,55,14,3,7,8,20,101,2013-12-16,11.0,-107.0,191.5
463,201312200IND,IND,home,43,81,0.531,12,26,0.462,16,22,0.727,9,41,50,29,11,7,17,21,114,-6.0,-102.0,HOU,away,32,84,0.381,4,22,0.182,13,24,0.542,12,24,36,10,11,6,14,18,81,2013-12-20,6.0,-113.0,197.0
464,201312220IND,IND,home,41,83,0.494,9,19,0.474,15,22,0.682,9,44,53,28,8,5,13,18,106,-12.0,-103.0,BOS,away,32,84,0.381,6,14,0.429,9,13,0.692,6,35,41,16,6,9,16,22,79,2013-12-22,12.0,-107.0,189.5
465,201312280IND,IND,home,38,71,0.535,8,19,0.421,21,25,0.84,5,36,41,28,8,2,17,18,105,-13.0,-107.0,BRK,away,36,77,0.468,8,21,0.381,11,16,0.688,5,23,28,13,9,4,13,22,91,2013-12-28,13.0,-105.0,195.5
466,201312310IND,IND,home,34,77,0.442,5,25,0.2,18,22,0.818,8,33,41,22,7,9,11,16,91,-13.0,-105.0,CLE,away,29,80,0.363,1,12,0.083,17,23,0.739,12,36,48,15,5,3,13,22,76,2013-12-31,13.0,-105.0,197.0
467,201401040IND,IND,home,39,83,0.47,7,22,0.318,14,19,0.737,14,31,45,20,5,9,15,23,99,-11.5,-105.0,NOP,away,31,68,0.456,3,9,0.333,17,26,0.654,5,28,33,15,9,6,17,18,82,2014-01-04,11.5,-106.0,192.0
468,201401070IND,IND,home,32,75,0.427,1,11,0.091,21,26,0.808,11,42,53,17,5,8,15,19,86,-9.0,-101.0,TOR,away,30,81,0.37,5,19,0.263,14,18,0.778,5,31,36,18,7,4,9,25,79,2014-01-07,9.0,-108.0,187.0
469,201401100IND,IND,home,37,83,0.446,6,13,0.462,13,22,0.591,11,50,61,25,6,1,15,22,93,-9.0,-108.0,WAS,away,26,81,0.321,5,14,0.357,9,23,0.391,8,33,41,13,8,7,14,25,66,2014-01-10,9.0,-107.0,185.0
470,201401140IND,IND,home,45,82,0.549,6,16,0.375,20,25,0.8,11,35,46,24,7,5,13,17,116,-10.5,-103.0,SAC,away,39,92,0.424,4,13,0.308,10,17,0.588,15,25,40,13,8,5,15,21,92,2014-01-14,10.5,-105.0,195.5
471,201401160IND,IND,home,43,86,0.5,10,23,0.435,21,23,0.913,7,36,43,26,3,6,5,19,117,-9.5,100.0,NYK,away,34,85,0.4,4,19,0.211,17,22,0.773,12,34,46,16,2,6,12,22,89,2014-01-16,9.5,-106.0,184.0
472,201401180IND,IND,home,38,83,0.458,9,19,0.474,21,22,0.955,13,35,48,17,5,8,12,25,106,-9.0,-105.0,LAC,away,33,83,0.398,5,20,0.25,21,24,0.875,9,30,39,17,3,4,12,18,92,2014-01-18,9.0,-110.0,195.5
473,201401300IND,IND,home,38,87,0.437,1,15,0.067,17,24,0.708,14,33,47,15,2,6,15,23,94,-11.5,-110.0,PHO,away,39,91,0.429,8,17,0.471,16,20,0.8,11,35,46,18,6,4,12,21,102,2014-01-30,11.5,-107.0,201.0
474,201402010IND,IND,home,31,73,0.425,3,15,0.2,32,37,0.865,12,34,46,17,7,5,23,20,97,-11.5,-105.0,BRK,away,34,77,0.442,7,23,0.304,21,23,0.913,6,21,27,15,15,7,15,28,96,2014-02-01,11.5,-113.0,190.5
475,201402030IND,IND,home,38,90,0.422,8,25,0.32,14,17,0.824,13,39,52,21,4,5,9,13,98,-15.0,100.0,ORL,away,33,83,0.398,7,16,0.438,6,10,0.6,9,29,38,21,5,4,13,18,79,2014-02-03,15.0,-110.0,188.0
476,201402070IND,IND,home,42,92,0.457,5,13,0.385,29,35,0.829,11,35,46,22,10,9,12,20,118,-6.0,-105.0,POR,away,45,104,0.433,7,20,0.35,16,20,0.8,13,34,47,21,3,5,13,27,113,2014-02-07,6.0,-108.0,197.0
477,201402100IND,IND,home,46,80,0.575,4,16,0.25,23,26,0.885,13,43,56,21,6,8,14,18,119,-10.5,-107.0,DEN,away,28,89,0.315,6,26,0.231,18,26,0.692,16,21,37,17,3,1,11,23,80,2014-02-10,10.5,-108.0,197.0
478,201402120IND,IND,home,27,84,0.321,7,24,0.292,12,14,0.857,10,37,47,18,5,6,16,22,73,-9.0,-104.0,DAL,away,30,84,0.357,5,19,0.263,16,21,0.762,10,37,47,21,7,10,13,19,81,2014-02-12,9.0,-105.0,196.0
479,201402180IND,IND,home,39,79,0.494,9,23,0.391,21,26,0.808,6,30,36,23,11,7,13,17,108,-10.0,-108.0,ATL,away,37,77,0.481,12,26,0.462,12,19,0.632,12,32,44,26,9,3,22,22,98,2014-02-18,10.0,-108.0,196.0
480,201402250IND,IND,home,47,101,0.465,5,16,0.313,19,25,0.76,21,41,62,25,11,10,17,21,118,-13.5,-108.0,LAL,away,39,90,0.433,8,23,0.348,12,20,0.6,10,32,42,22,11,12,16,23,98,2014-02-25,13.5,-106.0,206.0
481,201402270IND,IND,home,38,74,0.514,6,15,0.4,19,22,0.864,12,35,47,22,7,3,19,15,101,-15.5,-107.0,MIL,away,38,87,0.437,12,24,0.5,8,11,0.727,10,25,35,19,7,4,12,22,96,2014-02-27,15.5,-108.0,195.5
482,201403020IND,IND,home,34,82,0.415,5,15,0.333,21,28,0.75,14,28,42,18,10,8,10,20,94,-11.0,-109.0,UTA,away,36,78,0.462,6,14,0.429,13,18,0.722,10,34,44,20,4,6,18,28,91,2014-03-02,11.0,-114.0,190.0
483,201403040IND,IND,home,36,86,0.419,3,16,0.188,21,22,0.955,9,34,43,16,5,7,8,20,96,-5.0,-109.0,GSW,away,37,84,0.44,10,20,0.5,14,21,0.667,10,34,44,24,4,6,10,21,98,2014-03-04,5.0,-105.0,196.0
484,201403110IND,IND,home,40,73,0.548,4,16,0.25,10,13,0.769,8,35,43,22,5,4,16,22,94,-12.0,-105.0,BOS,away,32,91,0.352,3,19,0.158,16,19,0.842,20,21,41,16,6,1,10,23,83,2014-03-11,12.0,-105.0,192.0
485,201403170IND,IND,home,31,81,0.383,6,18,0.333,31,38,0.816,16,36,52,13,9,4,15,17,99,-19.5,-105.0,PHI,away,35,81,0.432,9,23,0.391,11,20,0.55,11,34,45,21,3,6,18,33,90,2014-03-17,19.5,-106.0,204.0
486,201403210IND,IND,home,34,79,0.43,2,11,0.182,21,25,0.84,13,38,51,27,4,9,16,18,91,-6.5,-106.0,CHI,away,28,77,0.364,5,11,0.455,18,24,0.75,10,26,36,17,12,10,13,25,79,2014-03-21,6.5,-110.0,179.5
487,201403260IND,IND,home,30,81,0.37,7,14,0.5,17,21,0.81,11,26,37,18,8,0,10,21,84,-2.0,-105.0,MIA,away,28,61,0.459,6,19,0.316,21,29,0.724,5,32,37,13,6,9,18,22,83,2014-03-26,2.0,-105.0,186.5
488,201403310IND,IND,home,26,69,0.377,6,14,0.429,19,24,0.792,7,27,34,14,4,3,15,22,77,4.5,-105.0,SAS,away,37,80,0.463,8,17,0.471,21,25,0.84,15,25,40,18,10,5,8,19,103,2014-03-31,-4.5,-105.0,188.0
489,201404020IND,IND,home,39,79,0.494,5,18,0.278,18,24,0.75,10,37,47,24,4,7,10,21,101,-10.5,-103.0,DET,away,34,93,0.366,7,16,0.438,19,28,0.679,17,30,47,16,7,4,5,18,94,2014-04-02,10.5,-106.0,191.5
490,201404060IND,IND,home,32,78,0.41,5,20,0.25,19,30,0.633,10,25,35,18,9,3,11,26,88,-8.0,-109.0,ATL,away,41,73,0.562,12,27,0.444,13,17,0.765,5,35,40,22,4,3,15,26,107,2014-04-06,8.0,-106.0,186.5
491,201404130IND,IND,home,38,72,0.528,9,20,0.45,17,23,0.739,10,36,46,23,3,4,21,21,102,1.0,-107.0,OKC,away,36,84,0.429,7,28,0.25,18,19,0.947,8,24,32,21,12,4,9,24,97,2014-04-13,-1.0,-107.0,192.0
492,201310310LAC,LAC,home,42,85,0.494,9,28,0.321,33,50,0.66,16,28,44,27,15,4,18,30,126,-6.0,-107.0,GSW,away,40,76,0.526,12,21,0.571,23,33,0.697,10,23,33,26,7,2,24,35,115,2013-10-31,6.0,-110.0,205.5
493,201311040LAC,LAC,home,49,94,0.521,15,38,0.395,24,28,0.857,9,29,38,33,7,7,10,29,137,-5.0,-115.0,HOU,away,41,82,0.5,7,25,0.28,29,43,0.674,13,33,46,21,7,3,15,22,118,2013-11-04,5.0,-110.0,211.0
494,201311110LAC,LAC,home,44,80,0.55,4,16,0.25,17,28,0.607,6,37,43,30,9,2,14,17,109,-6.5,-104.0,MIN,away,40,96,0.417,11,29,0.379,16,18,0.889,16,29,45,27,7,2,12,25,107,2013-11-11,6.5,-105.0,211.0
495,201311130LAC,LAC,home,39,86,0.453,6,28,0.214,27,34,0.794,18,32,50,30,15,4,22,23,111,-4.5,-110.0,OKC,away,35,75,0.467,6,16,0.375,27,33,0.818,8,27,35,27,12,3,22,29,103,2013-11-13,4.5,-110.0,209.5
496,201311160LAC,LAC,home,40,77,0.519,10,23,0.435,20,30,0.667,13,38,51,23,6,7,17,21,110,-14.0,-108.0,BRK,away,36,85,0.424,9,23,0.391,22,33,0.667,16,23,39,24,7,1,11,26,103,2013-11-16,14.0,-109.0,202.5
497,201311180LAC,LAC,home,34,86,0.395,7,23,0.304,27,32,0.844,16,29,45,20,7,4,11,25,102,-8.0,-113.0,MEM,away,39,81,0.481,5,12,0.417,23,30,0.767,11,36,47,23,7,5,9,23,106,2013-11-18,8.0,-107.0,196.5
498,201311230LAC,LAC,home,33,68,0.485,11,25,0.44,26,45,0.578,5,34,39,22,5,5,17,26,103,-10.5,-107.0,SAC,away,37,88,0.42,5,17,0.294,23,30,0.767,11,35,46,26,8,4,10,33,102,2013-11-23,10.5,-113.0,207.5
499,201311240LAC,LAC,home,48,82,0.585,8,21,0.381,17,19,0.895,6,38,44,32,8,5,9,23,121,-6.5,-105.0,CHI,away,32,81,0.395,4,12,0.333,14,23,0.609,11,28,39,24,2,1,14,18,82,2013-11-24,6.5,-105.0,193.5
500,201311270LAC,LAC,home,32,74,0.432,6,25,0.24,23,31,0.742,7,35,42,17,8,2,13,17,93,-9.5,-102.0,NYK,away,32,83,0.386,3,20,0.15,13,15,0.867,12,32,44,20,6,6,14,27,80,2013-11-27,9.5,-110.0,204.0
501,201312010LAC,LAC,home,36,82,0.439,4,15,0.267,24,31,0.774,12,29,41,19,8,2,11,23,100,1.5,-103.0,IND,away,39,89,0.438,8,26,0.308,19,26,0.731,17,33,50,25,5,4,16,25,105,2013-12-01,-1.5,-103.0,192.0
502,201312160LAC,LAC,home,39,76,0.513,11,23,0.478,26,35,0.743,9,34,43,19,12,4,18,20,115,3.0,-103.0,SAS,away,37,76,0.487,6,18,0.333,12,21,0.571,9,27,36,20,8,3,22,27,92,2013-12-16,-3.0,-103.0,203.0
503,201312180LAC,LAC,home,33,78,0.423,11,29,0.379,31,36,0.861,11,38,49,25,4,8,9,16,108,-9.5,-106.0,NOP,away,37,93,0.398,7,20,0.35,14,20,0.7,18,37,55,26,6,1,11,22,95,2013-12-18,9.5,-110.0,206.0
504,201312210LAC,LAC,home,39,86,0.453,13,33,0.394,21,31,0.677,11,35,46,26,9,8,17,20,112,-8.5,-110.0,DEN,away,31,88,0.352,6,30,0.2,23,29,0.793,15,35,50,16,12,3,18,26,91,2013-12-21,8.5,-108.0,205.5
505,201312220LAC,LAC,home,46,97,0.474,7,29,0.241,21,27,0.778,16,29,45,24,14,1,13,23,120,-4.5,-105.0,MIN,away,45,96,0.469,6,22,0.273,20,27,0.741,19,35,54,27,4,3,19,23,116,2013-12-22,4.5,-109.0,211.5
506,201312280LAC,LAC,home,35,77,0.455,3,14,0.214,25,32,0.781,7,34,41,20,14,4,13,16,98,-14.5,-105.0,UTA,away,32,76,0.421,7,19,0.368,19,21,0.905,8,37,45,24,9,4,19,27,90,2013-12-28,14.5,-105.0,201.0
507,201312300LAC,LAC,home,31,85,0.365,7,20,0.35,19,26,0.731,14,34,48,17,8,4,20,23,88,-8.0,-105.0,PHO,away,41,85,0.482,12,31,0.387,13,22,0.591,10,35,45,26,17,9,16,20,107,2013-12-30,8.0,-107.0,208.5
508,201401010LAC,LAC,home,47,85,0.553,11,34,0.324,7,10,0.7,8,36,44,36,9,3,13,20,112,-10.5,-108.0,CHA,away,29,76,0.382,6,21,0.286,21,22,0.955,7,31,38,19,7,1,16,13,85,2014-01-01,10.5,-109.0,194.0
509,201401060LAC,LAC,home,35,83,0.422,11,31,0.355,20,24,0.833,13,38,51,30,9,10,14,17,101,-7.5,-113.0,ORL,away,30,84,0.357,7,19,0.368,14,21,0.667,15,35,50,15,8,1,17,20,81,2014-01-06,7.5,-110.0,196.0
510,201401080LAC,LAC,home,36,79,0.456,11,30,0.367,28,39,0.718,7,30,37,26,11,4,13,23,111,-11.0,-101.0,BOS,away,39,83,0.47,5,17,0.294,22,30,0.733,10,35,45,25,7,1,18,30,105,2014-01-08,11.0,-105.0,198.0
511,201401100LAC,LAC,home,45,92,0.489,7,23,0.304,26,35,0.743,13,43,56,24,16,13,8,23,123,-10.0,-107.0,LAL,away,29,84,0.345,4,16,0.25,25,28,0.893,11,36,47,18,2,1,21,26,87,2014-01-10,10.0,-107.0,210.5
512,201401150LAC,LAC,home,42,83,0.506,17,34,0.5,28,37,0.757,11,27,38,34,6,4,12,17,129,-4.5,-107.0,DAL,away,51,97,0.526,12,25,0.48,13,21,0.619,17,30,47,37,7,2,9,24,127,2014-01-15,4.5,-108.0,206.0
513,201401290LAC,LAC,home,36,73,0.493,6,15,0.4,32,42,0.762,8,35,43,21,5,3,19,16,110,-8.5,-105.0,WAS,away,45,88,0.511,3,22,0.136,10,17,0.588,6,30,36,31,10,4,16,26,103,2014-01-29,8.5,-107.0,206.0
514,201402010LAC,LAC,home,38,74,0.514,2,12,0.167,24,37,0.649,14,31,45,25,7,6,11,22,102,-13.5,-105.0,UTA,away,29,81,0.358,10,30,0.333,19,28,0.679,15,27,42,19,5,1,11,27,87,2014-02-01,13.5,-108.0,207.0
515,201402050LAC,LAC,home,37,86,0.43,7,25,0.28,31,42,0.738,21,31,52,26,8,2,20,24,112,-1.5,102.0,MIA,away,41,78,0.526,13,31,0.419,21,26,0.808,7,24,31,33,11,5,15,32,116,2014-02-05,1.5,-107.0,207.0
516,201402070LAC,LAC,home,36,71,0.507,9,24,0.375,37,54,0.685,10,35,45,25,6,4,12,28,118,-5.5,-110.0,TOR,away,34,85,0.4,7,26,0.269,30,40,0.75,16,28,44,22,7,2,9,35,105,2014-02-07,5.5,-105.0,205.5
517,201402090LAC,LAC,home,50,89,0.562,9,28,0.321,14,17,0.824,11,48,59,33,12,9,22,20,123,-16.0,-105.0,PHI,away,27,100,0.27,3,28,0.107,21,25,0.84,20,24,44,16,15,4,17,16,78,2014-02-09,16.0,-106.0,220.5
518,201402120LAC,LAC,home,46,79,0.582,4,10,0.4,26,31,0.839,5,28,33,24,13,2,8,20,122,-9.0,-108.0,POR,away,43,84,0.512,13,31,0.419,18,22,0.818,9,23,32,26,2,2,16,27,117,2014-02-12,9.0,-107.0,217.5
519,201402180LAC,LAC,home,35,81,0.432,6,21,0.286,27,38,0.711,9,29,38,19,11,6,12,20,103,-6.0,-109.0,SAS,away,44,88,0.5,9,20,0.45,16,21,0.762,12,36,48,26,5,4,17,28,113,2014-02-18,6.0,-113.0,210.5
520,201402260LAC,LAC,home,41,93,0.441,8,24,0.333,11,13,0.846,14,28,42,25,12,8,11,23,101,-5.0,-106.0,HOU,away,34,77,0.442,8,25,0.32,17,24,0.708,12,34,46,19,6,4,20,20,93,2014-02-26,5.0,-111.0,222.0
521,201403010LAC,LAC,home,38,81,0.469,9,25,0.36,23,32,0.719,9,36,45,25,9,9,11,22,108,-11.5,-103.0,NOP,away,28,85,0.329,3,22,0.136,17,19,0.895,11,33,44,13,4,6,20,29,76,2014-03-01,11.5,-106.0,209.0
522,201403080LAC,LAC,home,42,79,0.532,7,22,0.318,18,24,0.75,13,22,35,26,7,4,18,21,109,-15.5,-109.0,ATL,away,38,76,0.5,12,28,0.429,20,26,0.769,8,21,29,29,13,1,15,20,108,2014-03-08,15.5,-113.0,221.0
523,201403100LAC,LAC,home,43,78,0.551,4,14,0.286,22,31,0.71,9,33,42,25,11,4,21,28,112,-11.0,-105.0,PHO,away,39,85,0.459,7,20,0.35,20,29,0.69,13,23,36,22,11,5,16,25,105,2014-03-10,11.0,-110.0,217.0
524,201403120LAC,LAC,home,43,88,0.489,8,18,0.444,17,24,0.708,11,38,49,23,7,9,10,21,111,-7.0,-103.0,GSW,away,36,82,0.439,8,21,0.381,18,25,0.72,6,30,36,27,6,2,12,21,98,2014-03-12,7.0,-107.0,211.0
525,201403160LAC,LAC,home,42,94,0.447,8,28,0.286,10,15,0.667,10,31,41,32,8,3,5,20,102,-11.0,-109.0,CLE,away,29,83,0.349,8,24,0.333,14,20,0.7,16,32,48,19,2,1,17,17,80,2014-03-16,11.0,-105.0,208.0
526,201403220LAC,LAC,home,45,83,0.542,11,29,0.379,11,17,0.647,7,33,40,31,13,10,13,15,112,-13.5,-103.0,DET,away,42,93,0.452,12,29,0.414,7,13,0.538,16,30,46,29,9,2,15,15,103,2014-03-22,13.5,-105.0,216.5
527,201403240LAC,LAC,home,38,78,0.487,8,18,0.444,22,27,0.815,7,33,40,29,7,6,13,17,106,-16.5,-110.0,MIL,away,41,85,0.482,5,13,0.385,11,16,0.688,11,27,38,27,6,2,10,18,98,2014-03-24,16.5,-110.0,213.5
528,201404030LAC,LAC,home,39,91,0.429,6,27,0.222,23,29,0.793,12,29,41,26,7,4,6,20,107,-4.0,-103.0,DAL,away,41,82,0.5,14,29,0.483,17,20,0.85,8,38,46,24,4,9,11,21,113,2014-04-03,4.0,-105.0,211.0
529,201404060LAC,LAC,home,47,83,0.566,10,19,0.526,16,26,0.615,8,44,52,28,12,5,16,17,120,-15.5,-110.0,LAL,away,36,86,0.419,7,31,0.226,18,23,0.783,8,30,38,26,9,0,14,19,97,2014-04-06,15.5,-108.0,225.5
530,201404090LAC,LAC,home,36,86,0.419,8,27,0.296,21,34,0.618,15,37,52,23,7,5,16,22,101,-3.5,-105.0,OKC,away,38,90,0.422,5,21,0.238,26,32,0.813,11,33,44,18,8,8,8,24,107,2014-04-09,3.5,-110.0,212.0
531,201404120LAC,LAC,home,41,81,0.506,9,19,0.474,26,36,0.722,10,33,43,31,6,8,11,26,117,-11.0,102.0,SAC,away,35,82,0.427,4,9,0.444,27,33,0.818,12,26,38,21,5,4,10,26,101,2014-04-12,11.0,-105.0,205.5
532,201404150LAC,LAC,home,44,83,0.53,9,24,0.375,20,30,0.667,7,34,41,29,11,4,15,21,117,-10.5,-110.0,DEN,away,35,82,0.427,8,29,0.276,27,30,0.9,13,30,43,20,10,4,19,26,105,2014-04-15,10.5,-110.0,221.5
533,201310290LAL,LAL,home,42,93,0.452,14,29,0.483,18,28,0.643,18,34,52,23,8,6,19,23,116,9.5,-110.0,LAC,away,41,83,0.494,8,21,0.381,13,23,0.565,10,30,40,27,11,4,16,21,103,2013-10-29,-9.5,-110.0,202.5
534,201311010LAL,LAL,home,30,82,0.366,8,27,0.296,17,24,0.708,8,38,46,22,4,7,12,19,85,7.5,100.0,SAS,away,38,94,0.404,5,21,0.238,10,14,0.714,12,38,50,20,7,0,12,18,91,2013-11-01,-7.5,100.0,208.5
535,201311030LAL,LAL,home,38,89,0.427,9,25,0.36,20,24,0.833,6,47,53,27,5,7,13,24,105,-1.0,-102.0,ATL,away,40,90,0.444,9,22,0.409,14,26,0.538,10,42,52,26,9,3,11,22,103,2013-11-03,1.0,-105.0,206.5
536,201311100LAL,LAL,home,35,92,0.38,10,26,0.385,10,18,0.556,16,30,46,24,8,8,18,16,90,4.0,-115.0,MIN,away,44,90,0.489,10,20,0.5,15,19,0.789,12,41,53,29,14,5,21,15,113,2013-11-10,-4.0,-115.0,210.0
537,201311120LAL,LAL,home,44,79,0.557,11,20,0.55,17,21,0.81,9,44,53,33,7,4,19,31,116,3.5,-105.0,NOP,away,34,84,0.405,3,10,0.3,24,33,0.727,9,22,31,23,11,3,13,20,95,2013-11-12,-3.5,-105.0,199.5
538,201311150LAL,LAL,home,35,80,0.438,10,24,0.417,6,11,0.545,4,36,40,25,6,8,11,17,86,3.0,-107.0,MEM,away,37,85,0.435,1,13,0.077,14,14,1.0,10,41,51,27,7,5,9,13,89,2013-11-15,-3.0,-107.0,196.5
539,201311170LAL,LAL,home,47,90,0.522,10,25,0.4,10,10,1.0,8,30,38,33,11,5,13,20,114,2.5,-106.0,DET,away,42,87,0.483,8,23,0.348,7,17,0.412,12,27,39,24,7,3,14,10,99,2013-11-17,-2.5,-106.0,205.0
540,201311220LAL,LAL,home,39,82,0.476,11,24,0.458,13,17,0.765,7,29,36,21,10,4,14,22,102,4.5,-108.0,GSW,away,34,82,0.415,9,22,0.409,18,28,0.643,16,34,50,23,8,2,18,20,95,2013-11-22,-4.5,-108.0,202.5
541,201311240LAL,LAL,home,40,87,0.46,8,26,0.308,12,15,0.8,9,35,44,20,8,9,10,17,100,-4.5,-106.0,SAC,away,35,84,0.417,8,24,0.333,8,15,0.533,7,35,42,24,6,3,13,17,86,2013-11-24,4.5,-111.0,204.5
542,201312010LAL,LAL,home,40,87,0.46,10,28,0.357,18,23,0.783,9,32,41,25,8,7,9,21,108,3.5,-110.0,POR,away,38,87,0.437,9,23,0.391,29,34,0.853,15,37,52,28,6,1,12,19,114,2013-12-01,-3.5,-110.0,206.0
543,201312080LAL,LAL,home,34,79,0.43,9,28,0.321,17,20,0.85,8,32,40,22,7,3,19,23,94,-6.5,-101.0,TOR,away,40,82,0.488,4,26,0.154,22,25,0.88,6,32,38,19,11,4,11,18,106,2013-12-08,6.5,-105.0,204.0
544,201312100LAL,LAL,home,39,80,0.488,5,19,0.263,25,32,0.781,7,26,33,22,7,3,11,20,108,-3.0,-108.0,PHO,away,44,85,0.518,7,23,0.304,19,21,0.905,10,33,43,24,6,3,13,22,114,2013-12-10,3.0,-107.0,207.0
545,201312200LAL,LAL,home,42,78,0.538,7,19,0.368,13,15,0.867,7,36,43,27,7,9,19,19,104,6.0,-105.0,MIN,away,33,95,0.347,5,22,0.227,20,25,0.8,22,27,49,21,10,2,16,16,91,2013-12-20,-6.0,-105.0,210.5
546,201312250LAL,LAL,home,33,79,0.418,14,36,0.389,15,26,0.577,12,35,47,15,8,4,17,19,95,9.5,-103.0,MIA,away,41,80,0.513,9,27,0.333,10,17,0.588,7,36,43,29,9,2,12,20,101,2013-12-25,-9.5,-103.0,206.5
547,201312290LAL,LAL,home,31,84,0.369,12,37,0.324,30,34,0.882,18,37,55,20,4,8,20,20,104,-7.0,-103.0,PHI,away,39,95,0.411,6,24,0.25,27,33,0.818,17,32,49,24,13,6,10,24,111,2013-12-29,7.0,-110.0,218.5
548,201312310LAL,LAL,home,29,81,0.358,7,24,0.292,14,18,0.778,9,30,39,18,2,10,13,20,79,-6.0,-105.0,MIL,away,40,91,0.44,6,23,0.261,8,14,0.571,16,35,51,17,10,4,7,16,94,2013-12-31,6.0,-110.0,202.5
